id,name,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,sprite_front,artwork
250,ho-oh,fire,flying,106,130,90,110,154,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/250.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/250.png
251,celebi,psychic,grass,100,100,100,100,100,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/251.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/251.png
252,treecko,grass,,40,45,35,65,55,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/252.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/252.png
253,grovyle,grass,,50,65,45,85,65,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/253.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/253.png
254,sceptile,grass,,70,85,65,105,85,120,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/254.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/254.png
255,torchic,fire,,45,60,40,70,50,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/255.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/255.png
256,combusken,fire,fighting,60,85,60,85,60,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/256.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/256.png
257,blaziken,fire,fighting,80,120,70,110,70,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/257.png
258,mudkip,water,,50,70,50,50,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/258.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/258.png
259,marshtomp,water,ground,70,85,70,60,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/259.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/259.png
260,swampert,water,ground,100,110,90,85,90,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/260.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/260.png
261,poochyena,dark,,35,55,35,30,30,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/261.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/261.png
262,mightyena,dark,,70,90,70,60,60,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/262.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/262.png
263,zigzagoon,normal,,38,30,41,30,41,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/263.png
264,linoone,normal,,78,70,61,50,61,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/264.png
265,wurmple,bug,,45,45,35,20,30,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/265.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/265.png
266,silcoon,bug,,50,35,55,25,25,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/266.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/266.png
267,beautifly,bug,flying,60,70,50,100,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/267.png
268,cascoon,bug,,50,35,55,25,25,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/268.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png
269,dustox,bug,poison,60,50,70,50,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/269.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png
270,lotad,water,grass,40,30,30,40,50,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/270.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png
271,lombre,water,grass,60,50,50,60,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/271.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/271.png
272,ludicolo,water,grass,80,70,70,90,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/272.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/272.png
273,seedot,grass,,40,40,50,30,30,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/273.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/273.png
274,nuzleaf,grass,dark,70,70,40,60,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/274.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/274.png
275,shiftry,grass,dark,90,100,60,90,60,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/275.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png
276,taillow,normal,flying,40,55,30,30,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/276.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png
277,swellow,normal,flying,60,85,60,75,50,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/277.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png
278,wingull,water,flying,40,30,30,55,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/278.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png
279,pelipper,water,flying,60,50,100,95,70,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/279.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png
280,ralts,psychic,fairy,28,25,25,45,35,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/280.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png
281,kirlia,psychic,fairy,38,35,35,65,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/281.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png
282,gardevoir,psychic,fairy,68,65,65,125,115,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/282.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png
283,surskit,bug,water,40,30,32,50,52,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/283.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png
284,masquerain,bug,flying,70,60,62,100,82,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/284.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png
285,shroomish,grass,,60,40,60,40,60,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/285.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png
286,breloom,grass,fighting,60,130,80,60,60,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png
287,slakoth,normal,,60,60,60,35,35,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/287.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png
288,vigoroth,normal,,80,80,80,55,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/288.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png
289,slaking,normal,,150,160,100,95,65,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/289.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png
290,nincada,bug,ground,31,45,90,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/290.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png
291,ninjask,bug,flying,61,90,45,50,50,160,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/291.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png
292,shedinja,bug,ghost,1,90,45,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/292.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png
293,whismur,normal,,64,51,23,51,23,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/293.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png
294,loudred,normal,,84,71,43,71,43,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/294.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png
295,exploud,normal,,104,91,63,91,73,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/295.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png
296,makuhita,fighting,,72,60,30,20,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/296.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png
297,hariyama,fighting,,144,120,60,40,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/297.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png
298,azurill,normal,fairy,50,20,40,20,40,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png
299,nosepass,rock,,30,45,135,45,90,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/299.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png
300,skitty,normal,,50,45,45,35,35,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/300.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png
301,delcatty,normal,,70,65,65,55,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/301.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png
302,sableye,dark,ghost,50,75,75,65,65,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/302.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png
303,mawile,steel,fairy,50,85,85,55,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/303.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png
304,aron,steel,rock,50,70,100,40,40,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png
305,lairon,steel,rock,60,90,140,50,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/305.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png
306,aggron,steel,rock,70,110,180,60,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png
307,meditite,fighting,psychic,30,40,55,40,55,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/307.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png
308,medicham,fighting,psychic,60,60,75,60,75,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/308.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png
309,electrike,electric,,40,45,40,65,40,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/309.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png
310,manectric,electric,,70,75,60,105,60,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/310.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png
311,plusle,electric,,60,50,40,85,75,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/311.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/311.png
312,minun,electric,,60,40,50,75,85,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/312.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/312.png
313,volbeat,bug,,65,73,75,47,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/313.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/313.png
314,illumise,bug,,65,47,75,73,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/314.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/314.png
315,roselia,grass,poison,50,60,45,100,80,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/315.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/315.png
316,gulpin,poison,,70,43,53,43,53,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/316.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/316.png
317,swalot,poison,,100,73,83,73,83,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/317.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/317.png
318,carvanha,water,dark,45,90,20,65,20,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/318.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/318.png
319,sharpedo,water,dark,70,120,40,95,40,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/319.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/319.png
320,wailmer,water,,130,70,35,70,35,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/320.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/320.png
321,wailord,water,,170,90,45,90,45,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/321.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/321.png
322,numel,fire,ground,60,60,40,65,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/322.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/322.png
323,camerupt,fire,ground,70,100,70,105,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/323.png
324,torkoal,fire,,70,85,140,85,70,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/324.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/324.png
325,spoink,psychic,,60,25,35,70,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/325.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/325.png
326,grumpig,psychic,,80,45,65,90,110,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/326.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/326.png
327,spinda,normal,,60,60,60,60,60,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/327.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/327.png
328,trapinch,ground,,45,100,45,45,45,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/328.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/328.png
329,vibrava,ground,dragon,50,70,50,50,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/329.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/329.png
330,flygon,ground,dragon,80,100,80,80,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/330.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/330.png
331,cacnea,grass,,50,85,40,85,40,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/331.png
332,cacturne,grass,dark,70,115,60,115,60,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/332.png
333,swablu,normal,flying,45,40,60,40,75,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/333.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/333.png
334,altaria,dragon,flying,75,70,90,70,105,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/334.png
335,zangoose,normal,,73,115,60,60,60,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/335.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/335.png
336,seviper,poison,,73,100,60,100,60,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/336.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/336.png
337,lunatone,rock,psychic,90,55,65,95,85,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/337.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/337.png
338,solrock,rock,psychic,90,95,85,55,65,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/338.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/338.png
339,barboach,water,ground,50,48,43,46,41,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/339.png
340,whiscash,water,ground,110,78,73,76,71,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/340.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/340.png
341,corphish,water,,43,80,65,50,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/341.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/341.png
342,crawdaunt,water,dark,63,120,85,90,55,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/342.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/342.png
343,baltoy,ground,psychic,40,40,55,40,70,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/343.png
344,claydol,ground,psychic,60,70,105,70,120,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/344.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/344.png
345,lileep,rock,grass,66,41,77,61,87,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/345.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/345.png
346,cradily,rock,grass,86,81,97,81,107,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/346.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/346.png
347,anorith,rock,bug,45,95,50,40,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/347.png
348,armaldo,rock,bug,75,125,100,70,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/348.png
349,feebas,water,,20,15,20,10,55,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/349.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/349.png
350,milotic,water,,95,60,79,100,125,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/350.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/350.png
351,castform,normal,,70,70,70,70,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/351.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/351.png
352,kecleon,normal,,60,90,70,60,120,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/352.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/352.png
353,shuppet,ghost,,44,75,35,63,33,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/353.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/353.png
354,banette,ghost,,64,115,65,83,63,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/354.png
355,duskull,ghost,,20,40,90,30,90,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/355.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/355.png
356,dusclops,ghost,,40,70,130,60,130,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/356.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/356.png
357,tropius,grass,flying,99,68,83,72,87,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/357.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/357.png
358,chimecho,psychic,,75,50,80,95,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/358.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/358.png
359,absol,dark,,65,130,60,75,60,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png
360,wynaut,psychic,,95,23,48,23,48,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/360.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/360.png
361,snorunt,ice,,50,50,50,50,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/361.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png
362,glalie,ice,,80,80,80,80,80,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/362.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/362.png
363,spheal,ice,water,70,40,50,55,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/363.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/363.png
364,sealeo,ice,water,90,60,70,75,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/364.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/364.png
365,walrein,ice,water,110,80,90,95,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/365.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/365.png
366,clamperl,water,,35,64,85,74,55,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/366.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/366.png
367,huntail,water,,55,104,105,94,75,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/367.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/367.png
368,gorebyss,water,,55,84,105,114,75,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/368.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/368.png
369,relicanth,water,rock,100,90,130,45,65,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/369.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/369.png
370,luvdisc,water,,43,30,55,40,65,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/370.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/370.png
371,bagon,dragon,,45,75,60,40,30,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/371.png
372,shelgon,dragon,,65,95,100,60,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/372.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/372.png
373,salamence,dragon,flying,95,135,80,110,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/373.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/373.png
374,beldum,steel,psychic,40,55,80,35,60,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/374.png
